player_no,song_code,song_name,artist_name,artist2_name
1,s0001,"I'm A Saint",Lecrae,
2,s0002,GALAPIN,"El Alfa",
3,s0003,"Ooh Ahh (My Life Be like)",Grits,TobyMac
4,s0903,"What I Can't Put Down","Jon Pardi",
5,s0005,"El Toro de Jalisco","Clave 520",
6,s0006,TaKillYa,"Vinnie Maniscalco",
7,s0007,"Let The Beat Build","Lil Wayne",
8,s0008,"Hay Problema","Liro Shaq",
9,s0009,"Take it Outside","Brantley Gilbert",
10,s0010,"Purple Haze","Jimi Hendrix",
11,s0011,"Ante Up (Robin Hoodz Theory)",M.O.P.,
12,s0598,"Hot (remix)","Young Thug","Travis Scott"
13,s0013,"Burning Man","Dierks Bentley","Brothers Osborne"
14,s0014,Replica,CJ,"El Alfa"
15,s0015,"New Year's Day","Charlie Robison",
16,s0016,Tweezer-Reprise,Phish,
17,s0017,Thunderstruck,AC/DC,
18,s0760,"Run This Town",JAY-Z,Rihanna
19,s0019,"No Hands","Waka Flocka Flame","Roscoe Dash"
20,s0020,"Put On",Jeezy,"Kanye West"
21,s0021,"Clint Eastwood",Gorillaz,
22,s0022,"Living Water","Shane and Shane",
23,s0023,"A Milli","Lil Wayne",
24,s0024,"El Coba","Rochy RD",
25,s0890,Goosebumps,"Travis Scott",
26,s0828,"Simple Man","Lynyrd Skynyrd",
27,s0445,"Fiesta & Calle","Rocky Rd","Imperio Record"
28,s0517,"La Jumpa",Arcángele,"Bad Bunny"
29,s0029,"For The Night","Pop Smoke","Lil Baby"
30,s0030,Nonstop,Drake,
31,s0031,"La Llevo Al Cielo","Chris Jedi",
32,s0032,"Keep It Light","Jack Harlow",
33,s0033,"This is the Way I Live","Baby Boy da Prince",
34,s0034,"Lonely Is The Night","Billy Squier",
35,s0035,"Time of Day","Turnpike Troubadours",
36,s0226,"Middle Child","J Cole",
37,s0037,"Who You Foolin",Gunna,
38,s0038,"Make It Rain","Travis Porter",
39,s0715,"I Wrote The Book","Morgan Wallen",
40,s0040,"I Gotta Feeling","The Black Eyed Peas",
41,s0041,Runnin,"21 Savage","Metro Boomin"
42,s0042,Vacation,"Dirty Heads",
43,s0043,"Swag Surfin'",F.L.Y,
44,s0044,""So Fresh, So Clean"",Outkast,
45,s0045,"Halftime (Stand Up and Get Crunk)","Ying Yang Twins",
46,s0046,"Palmetto Rose","Jason Isbell",
47,s0047,"Sittin Sidewayz","Paul Wall",
48,s0048,"Atlas Rise",Metallica,
49,s0049,"Superhero (Heroes & Villains)","Metro Boomin",Future
50,s0657,"Rulay & Pica Pollo","El Alfa","El Perrote Wz"
51,s0051,"Broadway Girls","Morgan Wallen",
52,s0587,"What You Know",T.I.,
53,s0053,"Padre Tiempo","Eladio Carrion",
54,s0054,"Down In Atlanta","Travis Scott/Pharrell Williams",
55,s0055,"Dead But Rising",Volbeat,
56,s0056,"Party Like a Rock Star","Shop Boyz",
57,s0057,"Bring It On Home","Led Zeppelin",
58,s0058,"Play With Fire","War Hall",
59,s0715,"I Wrote The Book","Morgan Wallen",
60,s0060,""Good Times, Bad Times"","Led Zeppelin",
61,s0550,"Electric Feel",MGMT,
62,s0062,"Could You Be Loved","Bob Marley",
63,s0063,"Immigrant Song","Led Zeppelin",
