player_no,team_code,first_name,last_name,song,song_code
1,ARI,Nick,Ahmed,"I'm A Saint",s0001
2,ARI,Sergio,Alcántara,GALAPIN,s0002
3,ARI,Seth,Beer,"Ooh Ahh (My Life Be like)",s0003
4,ARI,J.B.,Bukauskas,"What I Can't Put Down",s0903
5,ARI,Humberto,Castellanos,"El Toro de Jalisco",s0005
6,ARI,Paul,Fry,TaKillYa,s0006
7,ARI,Zac,Gallen,"Let The Beat Build",s0007
8,ARI,Jose,Herrera,"Hay Problema",s0008
9,ARI,Tyler,Holton,"Take it Outside",s0009
10,ARI,Carson,Kelly,"Purple Haze",s0010
11,ARI,Merrill,Kelly,"Ante Up (Robin Hoodz Theory)",s0011
12,ARI,Buddy,Kennedy,"Hot (remix)",s0598
13,ARI,Joe,Mantiply,"Burning Man",s0013
14,ARI,Ketel,Marte,Replica,s0014
15,ARI,Corbin,Martin,"New Year's Day",s0015
16,ARI,Jake,McCarthy,Tweezer-Reprise,s0016
17,ARI,Mark,Melancon,Thunderstruck,s0017
18,ARI,Kyle,Nelson,"Run This Town",s0760
19,ARI,Geraldo,Perdomo,"No Hands",s0019
20,ARI,Josh,Rojas,"Put On",s0020
21,ARI,Caleb,Smith,"Clint Eastwood",s0021
22,ARI,Pavin,Smith,"Living Water",s0022
23,ARI,Alek,Thomas,"A Milli",s0023
24,ARI,Edwin,Uceta,"El Coba",s0024
25,ARI,Christian,Walker,Goosebumps,s0890
26,ARI,Taylor,Widener,"Simple Man",s0828
27,ATL,Ronald,"Acuña Jr.","Fiesta & Calle",s0445
28,ATL,Ehire,Adrianza,"La Jumpa",s0517
29,ATL,Ozzie,Albies,"For The Night",s0029
30,ATL,Nick,Anderson,Nonstop,s0030
31,ATL,Orlando,Arcia,"La Llevo Al Cielo",s0031
32,ATL,Jesse,Chavez,"Keep It Light",s0032
33,ATL,Travis,d'Arnaud,"This is the Way I Live",s0033
34,ATL,Dylan,Dodd,"Lonely Is The Night",s0034
35,ATL,Bryce,Elder,"Time of Day",s0035
36,ATL,Max,Fried,"Middle Child",s0226
37,ATL,Vaughn,Grissom,"Who You Foolin",s0037
38,ATL,Michael,"Harris II","Make It Rain",s0038
39,ATL,Sam,Hilliard,"I Wrote The Book",s0715
40,ATL,Raisel,Iglesias,"I Gotta Feeling",s0040
41,ATL,Joe,Jimenez,Runnin,s0041
42,ATL,Dylan,Lee,Vacation,s0042
43,ATL,Lucas,Luetge,"Swag Surfin'",s0043
44,ATL,Collin,McHugh,""So Fresh, So Clean"",s0044
45,ATL,A.J.,Minter,"Halftime (Stand Up and Get Crunk)",s0045
46,ATL,Charlie,Morton,"Palmetto Rose",s0046
47,ATL,Sean,Murphy,"Sittin Sidewayz",s0047
48,ATL,Tyler,Matzek,"Atlas Rise",s0048
49,ATL,Matt,Olson,"Superhero (Heroes & Villains)",s0049
50,ATL,Marcell,Ozuna,"Rulay & Pica Pollo",s0657
51,ATL,Kevin,Pillar,"Broadway Girls",s0051
52,ATL,Austin,Riley,"What You Know",s0587
53,ATL,Eddie,Rosario,"Padre Tiempo",s0053
54,ATL,Nick,Solak,"Down In Atlanta",s0054
55,ATL,Mike,Soroka,"Dead But Rising",s0055
56,ATL,Jackson,Stephens,"Party Like a Rock Star",s0056
57,ATL,Spencer,Strider,"Bring It On Home",s0057
58,ATL,Michael,Tonkin,"Play With Fire",s0058
59,ATL,Chadwick,Tromp,"I Wrote The Book",s0715
60,ATL,Eli,White,""Good Times, Bad Times"",s0060
61,ATL,Kyle,Wright,"Electric Feel",s0550
62,ATL,Kirby,Yates,"Could You Be Loved",s0062
63,ATL,Danny,Young,"Immigrant Song",s0063
64,BAL,Bryan,Baker,"Levels - Radio Edit",s0064
65,BAL,Mike,Baumann,"My Hero",s0065
66,BAL,Félix,Bautista,"Saxofono Para Musicologos",s0066
67,BAL,Anthony,Bemboom,"Come Together",s0843
68,BAL,Kyle,Bradish,"Motley Crew",s0544
69,BAL,Yennier,Cano,"Como te Pago",s0069
70,BAL,Adam,Frazier,"Outta Control - Remix",s0070
71,BAL,Logan,Gillaspie,LAYERS,s0772
72,BAL,DL,Hall,"Back In Black",s0674
73,BAL,Austin,Hays,"Rolex® On A Redneck",s0073
74,BAL,Gunnar,Henderson,"The Sweet Escape",s0074
75,BAL,Aaron,Hicks,"Can't C Me",s0075
76,BAL,Cole,Irvin,Hillbilly,s0076
77,BAL,Jorge,Mateo,"Rico De Cuna",s0077
78,BAL,James,McCann,"Back In Black",s0674
79,BAL,Ryan,McKenna,"Who I Am",s0079
80,BAL,John,Means,"Safe and Sound - ZION I Remix",s0080
81,BAL,Ryan,Mountcastle,""Dear Maria, Count Me In "",s0081
82,BAL,Cedric,Mullins,"On The Road",s0082
83,BAL,Ryan,O'Hearn,Stranglehold,s0866
84,BAL,Cionel,Perez,"De Donde Yo Sali",s0673
85,BAL,Grayson,Rodriguez,Gasolina,s0085
86,BAL,Adley,Rutschman,Self-Made,s0086
87,BAL,Anthony,Santander,"Me gustas - En vivo",s0087
88,BAL,Kyle,Stowers,Sunset,s0088
89,BAL,Ramon,Urías,"La Santa",s0089
90,BAL,Terrin,Vavra,"Look Ahead",s0630
91,BAL,Nick,Vespi,"Saint Tropez",s0091
92,BAL,Austin,Voth,"Joker And The Thief",s0660
93,BAL,Spenser,Watkins,"Gravy Train",s0093
94,BAL,Tyler,Wells,"Fire Up The Night",s0094
95,BAL,Bruce,Zimmermann,Rooster,s0571
96,BOR,Jorge,Alfaro,"Hey Mor",s0096
97,BOR,Christian,Arroyo,"Calm Down",s0833
98,BOR,Brayan,Bello,"Solo Yo",s0098
99,BOR,Brennan,Bernardino,"Song Not Available",NULL
100,BOR,Richard,Bleier,"Nothin' But a Good Time",s0100
101,BOR,Triston,Casas,"It Was a Good Day",s0232
102,BOR,Yu,Chang,"Crank That (Soulja Boy)",s0102
103,BOR,Kutter,Crawford,"Hustler Musik",s0199
104,BOR,Rafael,Devers,Leyenda,s0237
105,BOR,Jarren,Duran,"Let's Get Married (ReMarqable Remix)",s0105
106,BOR,Adam,Duvall,"Song Not Available",NULL
107,BOR,Kiké,Hernández,PASIEMPRE,s0107
108,BOR,Joe,Jacques,"Song Not Available",NULL
109,BOR,Kenley,Jansen,CHAMPIONS,s0109
110,BOR,Chris,Martin,Texas,s0318
111,BOR,Chris,Murphy,"Must Be The Feeling",s0111
112,BOR,James,Paxton,"Song Not Available",NULL
113,BOR,Nick,Pivetta,"Wipe Me Down",s0113
114,BOR,Rob,Refsnyder,"Come Down",s0114
115,BOR,Joely,Rodríguez,"Song Not Available",NULL
116,BOR,Justin,Turner,Boston,s0116
117,BOR,Alex,Verdugo,""Volver, Volver "",s0117
118,BOR,Brandon,Walter,"Song Not Available",NULL
119,BOR,Josh,Winckowski,"Song Not Available",NULL
120,BOR,Connor,Wong,"WHO? WHAT!",s0120
121,BOR,Masataka,Yoshida,"Good Feeling",s0121
122,CHC,Javier,Assad,"Gracias (End Vivo)",s0122
123,CHC,Wilson,Contreras,Hot,s0123
124,CHC,Jeremiah,Estrada,"Here Comes The Boom",s0124
125,CHC,Adbert,Alzolay,"Joseo y Fe",s0125
126,CHC,David,Bote,Brother,s0803
127,CHC,Steven,Brault,"Seven Nation Army",s0127
128,CHC,Christopher,Morel,"Tití Me Preguntó",s0128
129,CHC,Alec,Mills,"Electric Worry",s0129
130,CHC,Wade,Miley,"Hillbilly Deluxe",s0893
131,CHC,Zach,McKinstry,"Lil Bit",s0131
132,CHC,Kyle,Hendricks,Superstition,s0678
133,CHC,Jason,Heyward,Frozen,s0133
134,CHC,Michael,Hermosillo,"Last Last",s0134
135,CHC,P.J.,Higgins,"Here Comes The Hotstepper",s0135
136,CHC,Ian,Happ,"Lose Control",s0136
137,CHC,Nick,Madrigal,"Hotel Lobby",s0137
138,CHC,Mark,"Leiter Jr.","The Mountain",s0138
139,CHC,Brandon,Hughes,Jump,s0139
140,CHC,Yan,Gomes,"Brooklyn Go Hard",s0140
141,CHC,Nico,Hoerner,"Tequila Shots",s0247
142,CHC,Sean,Newcomb,"Coming In Hot",s0142
143,CHC,Patrick,Wisdom,Body,s0143
144,CHC,Rowan,Wick,"I Got It",s0144
145,CHC,Hayden,Wesneski,"Jump Around",s0774
146,CHC,Nelson,Velazquez,"Uva Bombom",s0146
147,CHC,Erich,Uelmen,"Follow God",s0780
148,CHC,Keegan,Thompson,"Waves (Clean Version)",s0148
149,CHC,Seiya,Suzuki,"Public Service Announcement",s0805
150,CHC,Justin,Steele,"God's Gonna Cut You Down",s0810
151,CHC,Drew,Smyly,"My Songs Know What You Did In The Dark (Light Em Up)",s0151
152,CHC,Adrian,Sampson,"Till I Collapse",s0551
153,CHC,Michael,Rucker,"Mr. Blue Sky",s0153
154,CHC,Manuel,Rodriguez,Familia,s0154
155,CHC,Ethan,Roberts,Shine,s0155
156,CHC,Alfonso,Rivas,"Volver Volver",s0156
157,CHC,Franmil,Reyes,Lifestyle,s0157
158,CHC,Rafael,Ortega,"Thank You Hashem (DJ Niso Slob Remix)",s0158
159,CHW,Tim,Anderson,"Cost To Be Alive",s0682
160,CHW,Elvis,Andrus,"Noche de Arreboles",s0160
161,CHW,Andrew,Benintendi,"Bless Em",s0161
162,CHW,Jake,Burger,"Bullet with Butterfly Wings",s0162
163,CHW,Oscar,Colás,"De Donde Yo Salí",s0673
164,CHW,Yasmani,Grandal,"Like Wooh Wooh",s0164
165,CHW,Romy,González,"RACKS BLUE",s0165
166,CHW,Adam,Haseley,"Dead Man Walking",s0166
167,CHW,Eloy,Jiménez,"Dark Heart",s0167
168,CHW,Yoán,Moncada,Rush,s0168
169,CHW,Luis,"Robert Jr.","Toy Burlao",s0169
170,CHW,Gavin,Sheets,"Buy the World",s0170
171,CHW,Lenyn,Sosa,"Las Avispas",s0867
172,CHW,Andrew,Vaughn,"God's Gonna Cut You Down",s0810
173,CHW,Seby,Zavala,"Back Then",s0173
174,CHW,Tanner,Banks,"Gotta Have It",s0174
175,CHW,Aaron,Bummer,"Me & My Demons",s0175
176,CHW,Dylan,Cease,"Adonis Interlude (The Montage)",s0176
177,CHW,Mike,Clevinger,"Ooh La La",s0177
178,CHW,Lucas,Giolito,"Surround Sound",s0265
179,CHW,Liam,Hendriks,"We Will Rock You",s0179
180,CHW,Kendall,Graveman,"I Meant It",s0180
181,CHW,Joe,Kelly,Alone,s0181
182,CHW,Michael,Kopech,"Angel Band (Jubilee Version)",s0182
183,CHW,Jimmy,Lambert,"Knuck If You Buck",s0183
184,CHW,Reynaldo,López,"Sanctus Real",s0184
185,CHW,Lance,Lynn,"No Problem",s0185
186,CHW,Keynan,Middleton,"Search & Rescue",s0186
187,CIN,Graham,Ashcraft,"Black Powder Soul",s0187
188,CIN,Jose,Barrero,Repórtense,s0188
189,CIN,Will,Benson,"Lord Knows",s0189
190,CIN,Curt,Casali,"Safari Song",s0190
191,CIN,Luis,Cessa,Pepas,s0191
192,CIN,Fernando,Cruz,"Circle Of Life",s0192
193,CIN,Alexis,Díaz,Matador,s0193
194,CIN,Stuart,Fairchild,"Superhero (Heros & Villains)",s0194
195,CIN,Buck,Farmer,"The Chain",s0738
196,CIN,Jake,Fraley,"Set In Stone",s0196
197,CIN,Ian,Gibaut,Texas,s0318
198,CIN,Hunter,Greene,""Shook Ones, Pt. II "",s0198
199,CIN,Jonathan,India,"Hustler Musik",s0199
200,CIN,Joel,Kuhnel,Remedy,s0200
201,CIN,Derek,Law,"High Hopes",s0201
