song_code,song_name,artist_name,artist2_name
s0416,"¿Quién Dijo?","La Duda",Soñadores
s0081,""Dear Maria, Count Me In "","All Time Low","All Time Low"
s0817,""Gin, Smoke, Lies"","Turnpike Troubadours",
s0060,""Good Times, Bad Times"","Led Zeppelin",
s0312,""Nuthin' But A ""G"" Thing "","Dr. Dre",
s0198,""Shook Ones, Pt. II "","Mobb Deep",
s0527,""Shook Ones, Pt. II"","Mobb Deep",
s0758,""So Fresh, So Clean "",Outkast,
s0044,""So Fresh, So Clean"",Outkast,
s0522,""Stop, Drop, Roll "","Kitchen Clean",
s0117,""Volver, Volver "","Vicente Fernández",
s0376,""Wish on an Eyelash, Pt. 2 "",Mallrat,"The Chainsmokers"
s0910,"(What This World Needs Is) A Few More Rednecks","Charlie Daniels Band",
s0390,10K,KB,
s0367,"2 Of Amerikaz Most Wanted",2Pac,"Snoop Dogg"
s0733,25/8,"Bad Bunny",
s0392,"30 For 30",FlugameQ,LilOunce
s0638,422+222,"lil uzi vert",
s0380,512,Mora,
s0696,"72nd & Central",Proof,"J Hill"
s0655,"A Bay Bay (The Racthet Remix)","Hurricane Chris",
s0437,"A I O","Angel Dior",
s0023,"A Milli","Lil Wayne",
s0436,"A Pirate Looks at 40","TJ O’Neill","Stick Figure"
s0498,"A Sky Full of Stars","Taron Egerton",
s0176,"Adonis Interlude (The Montage)","J. Cole",
s0528,"After Hours",charlieonnafriday,
s0338,"Age of Machine","Greta van Fleet",
s0456,Agradecido,"Don Omar",
s0584,Aguanile,"Marc Anthony",
s0739,"Ain't No Rest for the Wicked","Cage the Elephant",
s0419,Alibaba,"El Alfa",
s0654,Alive,"Kid Cudi",Ratatat
s0261,"All for Us","Labrinth and Zendaya",
s0838,"All My Life","Lil Durk",J.Cole
s0897,"All The Small Things",Blink-182,
s0884,"All Things","Chris Howland",
s0181,Alone,Marshmello,
s0352,Altar,Hulvey,"Forrest Frank"
s0873,"Alto Riesgo","Myke Towers",
s0775,"Ameno Amapiano Remix (You Wanna Bamba)","Goya Menor",
s0691,"Andamos Mejor","Los Gemelos De Sinaloa",
s0182,"Angel Band (Jubilee Version)","Tyler Childers",
s0011,"Ante Up (Robin Hoodz Theory)",M.O.P.,
s0872,Antidote,"Travis Scott",
s0343,"Anywhere With You","Jake Owen",
s0629,AOK,"Tai Verdes",
s0393,Apricots,Bicep,
s0485,"Apuesta A Mi","El Mayor Clasico",
s0755,"Around the World","Around the World",
s0282,"Así Como David Danzaba","Notación Musical",
s0851,"Asi Soy Yo","Anuel AA","Bad Bunny"
s0623,Aspen,"The Jacka",
s0048,"Atlas Rise",Metallica,
s0216,"Attention Span",Rebelution,
s0451,"Awesome God",R-Swift,
s0815,"Ay si Nino","Rochy Rd","Mafeo 13"
s0898,"BA BA","Braulio Fogon",
s0800,"Back Down","50 Cent",
s0674,"Back in Black",AC/DC,
s0173,"Back Then","Mike Jones",
s0268,"bad guy","Billie Eilish",
s0700,Baianá,Bakermat,
s0396,"Baila Conmigo",Dayvi,"Kelly Ruíz"
s0724,Bailar,Deorro,"Elvis Crespo"
s0904,Bandoleros,"Don Omar","Tego Calderon"
s0287,Bawitaba,"Kid Rock",
s0811,"Beautiful Day (Thank You for Sunshine)",Trinix,Rushawn
s0628,"Before I Let Go","Frankie Beverly",
s0448,Bendecio,Redimi2,Redimi2
s0570,Bendiciones,"Bad Bunny",
s0291,Benediciones,"J Balvin",
s0378,"Bidi Bidi Bom Bom",Selena,
s0539,"Big Poppa","The Notorious B.I.G.",
s0420,Bigfoot,W&W,
s0478,"Black Hole Sun",Soundgarden,
s0187,"Black Powder Soul","Taylor Mccall",
s0161,"Bless Em","Quality Control",Takeoff
s0504,Blessings,Lecrae,
s0679,"Blinding Lights","The Weeknd",
s0228,"Blow the Whistle","Too $hort",
s0596,"Blue Collar Boys","Luke Combs",
s0414,"Blue Laces","Nipsey Hussle",Goldie
s0662,"Blue World","Mac Miller",
s0143,Body,"Loud Luxury",brando
s0209,BOOTS,HARDY,
s0729,Bootylicious,"Destiny's Child",
s0856,Bori,"6Ix9Ine feat Lenier",
s0404,"Born of a Broken Man","Rage Against The Machine",
s0116,Boston,Augustana,
s0225,"Break Em' Off","Paul Wall",
s0750,"Bright Side of Life",Rebelution,
s0057,"Bring It On Home","Led Zeppelin",
s0051,"Broadway Girls","Morgan Wallen",
s0671,"Broke Boys",Drake,"21 Savage"
s0140,"Brooklyn Go Hard",Jay-Z,Santigold
s0803,Brother,NEEDTOBREATHE,"Gavin DeGraw"
s0533,"Brother Louie",Stories,
s0162,"Bullet with Butterfly Wings","The Smashing Pumpkins",
s0825,"Burn The House Down",AJR,
s0013,"Burning Man","Dierks Bentley","Brothers Osborne"
s0845,"Burning Man","Andrew Watt","Post Malone"
s0658,"Burning Up (Fire)",BTS,
s0300,Business,Eminem,
s0880,"BUTTERFLY EFFECT","Travis Scott",
s0170,"Buy the World","Mike WiLL Made-It",
s0901,"Cada Quien","Grupo Firme",Maluma
s0441,"California Breeze","Lil Ba",
s0465,"California Day","Common Kings",
s0710,"California Love",2Pac,"Dr. Dre"
s0235,"Calling My Spirit","Kodak Black",
s0833,"Calm Down",Rema,"Selena Gomez"
s0651,"Calm Down (Violin Cover)",Rema,
s0503,Cameras,Drake,
s0766,"Can't Be Touched","Roy Jones Jr.",
s0075,"Can't C Me","Tupac Shakur",
s0375,"Can't Get Enough","Ghost Machines",
s0359,"can't look back","Machine Gun Kelly",
s0853,"Can't Stop","Red Hot Chilli Peppers",
s0230,"Can't You Hear Me Knocking","The Rolling Stones",
s0588,"Caribou Lou","Tech N9ne",
